"Label","Gender","Publication","Relative longevity (Ln)","Relative steepness (Ln)","p-value","KSm test stat","KSm p-value"
"INT-767","m","C2012","Around[-0.025060017974220528, 0.002708748364348326]","Around[0.10245088223496568, 0.012500220082785375]",0.07584579672502373,0.6765758927563301,">= 0.8"
"Inu","f","C2014","Around[0.02439302256414554, 0.001986615979928031]","Around[0.12444613927866927, 0.008454295619264347]",0.22664116024983924,0.8637253324034435,0.44982542357009364
"Inu","m","C2014","Around[-0.006227007872558767, 0.002610300896227131]","Around[-0.0142778036918829, 0.007999741098889044]",0.9459297179656015,0.7528547105609174,0.6437574528248345
"Leu","f","C2017","Around[0.015450354476853856, 0.0019316242040158659]","Around[-0.07283992594510981, 0.00791512794827052]",0.4440010880760219,1.0032444656686827,0.26717491165631396
"Leu","m","C2017","Around[-0.036802018987303085, 0.0037043107727527387]","Around[-0.004713136963683609, 0.007783750734754432]",0.3099998629370574,0.5701921310840486,">= 0.8"
"MB","f","C2009","Around[0.02679406409237424, 0.0019803171457293462]","Around[-0.054931958415298736, 0.007789440294219956]",0.18270126634827144,0.744339132207329,0.6603836619231346
"MB","m","C2009","Around[-0.032961543813252774, 0.0029462516580109435]","Around[0.06876201951933274, 0.009499694583238457]",0.18187961279753562,0.5044091348141071,">= 0.8"
"MCTO","f","C2007","Around[0.028861740910263584, 0.002051653434708165]","Around[0.018864301276708125, 0.008558400623983217]",0.2763465641797903,0.4223425608477533,">= 0.8"
"MCTO","m","C2007","Around[-0.0003621455022104198, 0.003080459168594337]","Around[-0.09697430709567065, 0.008176508953819212]",0.49228016581617684,0.48032283248288243,">= 0.8"
"Met","f","C2011","Around[0.002398424940313017, 0.001940667478020372]","Around[0.0687761023854997, 0.0074645556458663]",0.7603572906686534,0.5984251366713793,">= 0.8"
"Met","m","C2011","Around[0.05597831736656346, 0.0025461283552079095]","Around[0.18904278633199176, 0.010795126286885344]",0.1286753751776249,0.9276052475416164,0.3578090517152712
"MetRapa","f","C2011","Around[0.18131455555822304, 0.0017956877862131437]","Around[0.10913773515997226, 0.008326554754626845]",5.519968064169302e-24,1.1986941771131683,0.11297505013319921
"MetRapa","m","C2011","Around[0.17821146618014932, 0.002770479879611212]","Around[0.13322226968933978, 0.010827231658821657]",1.6762546699620224e-13,0.9653686411326695,0.3101416823718346
"MIF098","f","C2016","Around[-0.032393436706846405, 0.001675011446960044]","Around[-0.07471282873004592, 0.009642534762078341]",0.10940686702576673,0.6513827940022696,">= 0.8"
"MIF098","m","C2016","Around[0.03247675197540008, 0.00271239949023791]","Around[0.13449464897229085, 0.011142000100213342]",0.3049027819544893,0.8446706721324679,0.4800860558342351
"Min","f","C2015","Around[-0.016447398898253637, 0.00186868311415351]","Around[-0.042309534821273476, 0.007904896796974812]",0.6558123100664272,0.5891459339384127,">= 0.8"
"Min","m","C2015","Around[0.02024312629300304, 0.003046728783903732]","Around[0.11662078065696115, 0.010225809570382136]",0.5658565153584432,0.732182106731173,0.684522273978008
"MitoQ","f","C2015","Around[-0.00787421049684209, 0.0019716215510151903]","Around[-0.03868311706553706, 0.008071770268598519]",0.900380360700761,0.5239474763223957,">= 0.8"
"MitoQ","m","C2015","Around[-0.0013576810663223937, 0.0032033851149272825]","Around[-0.016431874623737273, 0.008537051061709265]",0.9663149398164687,0.5849589850842863,">= 0.8"
"NDGA","f","C2004","Around[0.008792991646571283, 0.0016285006124007876]","Around[0.005398449037453293, 0.007942352952768196]",0.8812997815716087,0.530867567083041,">= 0.8"
"NDGA","m","C2004","Around[0.10063685748733818, 0.0025963522588306038]","Around[0.23422620649274298, 0.009498554024242253]",0.00006472774557490213,0.9423941207662276,0.3385558603176789
"NDGA_hi","f","C2010","Around[-0.021853785182174703, 0.0020489361062429926]","Around[-0.062452912750818594, 0.008482838910987764]",0.5207542536363582,0.5720728505644951,">= 0.8"
"NDGA_hi","m","C2010","Around[0.09410104849713409, 0.0025857999870129017]","Around[0.2800220992392115, 0.008540526186734324]",0.0005709581815418555,1.3218282643226837,0.060730287187259514
"NDGA_lo","m","C2010","Around[0.06982497602715204, 0.003090379871003956]","Around[0.15207135660034912, 0.009619876352758305]",0.0494632206511032,0.6738379372682399,">= 0.8"
"NDGA_mid","m","C2010","Around[0.09659774995437727, 0.0025573749582634715]","Around[0.3809816786454101, 0.009712651365452421]",0.00007281325446355999,1.4351347370800798,0.032514268780765604
"NFP","f","C2004","Around[-0.0073623107027729505, 0.001965629125657137]","Around[0.07416247024318, 0.009439305519473737]",0.517927645852625,0.7171177786528611,0.7150744353228423
"NFP","m","C2004","Around[0.03220960508388354, 0.0023208175474474847]","Around[0.11363083748357714, 0.008843328803004256]",0.39476115229290903,0.8565978196021675,0.4609929778484208
"NR","f","C2016","Around[-0.01335512679956188, 0.0018338527937592681]","Around[-0.12625786746617326, 0.008593862023318067]",0.2245439196623228,0.9907226122753126,0.2808553787829725
"NR","m","C2016","Around[-0.018950725312716157, 0.002922462839843771]","Around[0.037600068528332274, 0.008641296380473262]",0.5363480489086833,0.5015398502712377,">= 0.8"
"OAA","f","C2007","Around[0.02484594885004658, 0.001812804820648176]","Around[0.024934688204657905, 0.008845871222238033]",0.5055571227287126,0.5772387297450983,">= 0.8"
"OAA","m","C2007","Around[0.02559037982639006, 0.0033241101630813877]","Around[0.009483127326660424, 0.010367075149807866]",0.7599137422997742,0.46486112901040216,">= 0.8"
"PB125","f","C2017","Around[0.0182293025129996, 0.0019846075581457113]","Around[-0.12047088798053646, 0.008930446883962077]",0.10006389818998514,0.9670731521291276,0.30810526572094793
"PB125","m","C2017","Around[0.0065779698592119806, 0.003497870255354107]","Around[0.04789432652268952, 0.00800065446021898]",0.8560085798745145,0.6515843314075894,">= 0.8"
"Prot","f","C2011","Around[0.018311958025908764, 0.0019473372031985896]","Around[-0.034681416130055244, 0.008520905227684297]",0.544603588867517,0.5242525067512166,">= 0.8"
"Prot","m","C2011","Around[0.07543667401941773, 0.003279676985652926]","Around[0.06920660768221162, 0.010841634363386409]",0.03844668582196318,0.5964370087902541,">= 0.8"
"RaAc16","f","C2017","Around[0.1379488484697847, 0.0021794467466900286]","Around[-0.10314135065099923, 0.009893767220430356]",1.8064846456452564e-18,1.0438391448511015,0.2262639275449487
"RaAc16","m","C2017","Around[0.1319295809501363, 0.0036967100911122113]","Around[0.04129958060902008, 0.009129325413391193]",0.00004423731348938825,0.6430922216714532,">= 0.8"
