experiment,group,lifespan,healthspan,sickspan,censored,food,temperature,control,batch_day,batch_device
statzer_main,N2(WT),18.477141,18.477141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),18.310475,18.310475,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),9.477141,9.477141,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.039641,18.539641,3.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),19.539641,17.539641,2.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.206308,15.289641,13.916667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.956308,33.456308,3.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),45.206308,38.331308,6.875,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),36.289641,33.539641,2.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),32.956308,31.456308,1.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),43.789641,35.872975,7.916666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),47.206308,42.956308,4.25,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.872975,19.706308,14.1666669999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.539641,23.622975,11.916666,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),21.789641,17.789641,4.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),35.456308,35.456308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),34.539641,34.539641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),28.039641,21.956308,6.083333,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),38.331308,33.956308,4.375,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.872975,12.539641,4.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),11.706308,9.289641,2.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.622975,32.206308,1.41666699999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),31.956308,31.956308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),10.622975,10.289641,0.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),33.706308,30.289641,3.416667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.789641,29.789641,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),40.706308,27.206308,13.5,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),29.622975,27.456308,2.166667,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.206308,14.122975,2.08333299999999,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),16.289641,15.289641,1.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),28.122975,16.122975,12.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.372975,24.372975,1.0,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.622975,24.289641,0.333334,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),24.122975,24.122975,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),25.372975,23.622975,1.75,0,heat-killed OP50,15,True,,
statzer_main,N2(WT),22.206308,22.206308,,1,heat-killed OP50,15,True,,
statzer_main,N2(WT),14.206308,9.372975,4.833333,0,heat-killed OP50,15,True,,
